seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 1/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 2/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 3/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 4/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 5/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 6/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 7/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 8/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 9/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 10/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 11/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 12/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 13/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 14/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 15/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 16/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 17/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 18/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 19/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 20/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 21/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 22/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 23/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 24/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 25/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 26/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 27/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 28/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 29/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 30/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 31/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 32/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 33/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 34/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 35/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 36/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 37/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 38/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 39/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 40/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 41/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 42/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 43/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 44/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 45/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 46/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 47/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 48/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 49/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 50/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 51/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 52/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 53/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 54/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 55/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 56/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 57/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 58/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 59/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 60/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 61/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 62/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 63/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 64/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 65/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 66/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 67/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 68/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 69/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 70/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 71/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 72/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 73/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 74/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 75/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 76/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 77/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 78/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 79/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 80/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 81/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 82/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 83/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 84/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 85/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 86/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 87/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 88/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 89/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 90/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 91/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 92/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 93/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 94/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 95/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 96/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 97/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
